rule_id;parent;realName;ECA;myOperator;nextOperator;readableValue;descriptiveName;author;ruleName;naturalLanguage;partialNaturalLanguage;Negation;Goal;User;Situation
86;livingroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-biorhythmlight;applicationExpert4;activate bio light;if  Test-user   is  inside  house and  LivingRoom light level is  low light  ,  do start biorhythm light scene in the living room;do start biorhythm light scene in the living room;;Comfort, Wellbeing;Generic;Generic
87;datetime;localtime;condition;morethen;and;21:00;datetime-localtime;applicationExpert4;go to bed relaxing light;if time  is between 21:00 AND 23:00  ,  do start relaxing light scene in the living room;if time  is between 21:00 AND 23:00 ;;Wellbeing;Generic;Evening
87;datetime;localtime;condition;lessthen;NEXTOPERATOR;23:00;datetime-localtime;applicationExpert4;go to bed relaxing light;if time  is between 21:00 AND 23:00  ,  do start relaxing light scene in the living room;if time  is between 21:00 AND 23:00 ;;Wellbeing;Generic;Evening
87;livingroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-relax;applicationExpert4;go to bed relaxing light;if time  is between 21:00 AND 23:00  ,  do start relaxing light scene in the living room;do start relaxing light scene in the living room;;Wellbeing;Generic;Evening
88;cognitive;emotionalstate;event;equal;NEXTOPERATOR;SAD;cognitive-emotionalstate;applicationExpert4;Elderly is sad - reminder caregiver to call ;When  Test-user kwido emotional state becomes  sad  ,  do send  one  reminder  by sms to caregiver;When  Test-user kwido emotional state becomes  sad ;;Wellbeing;Caregiver;Generic
88;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Elderly is sad: call her/him;reminders-reminders;applicationExpert4;Elderly is sad - reminder caregiver to call ;When  Test-user kwido emotional state becomes  sad  ,  do send  one  reminder  by sms to caregiver;"do send  one  reminder  by sms ""Elderly is sad: call her/him"" to caregiver";;Wellbeing;Caregiver;Generic
89;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;bedroom;relativeposition-typeofproximity;applicationExpert4;turn off lights in bedroom between 23 and 06;if  Test-user   is  inside  bedroom and time  is between 23:00 AND 06:00  ,  do  turn off all lights in the bedroom;if  Test-user   is  inside  bedroom and;;Comfort, Wellbeing;Generic;Night
89;datetime;localtime;condition;morethen;and;23:00;datetime-localtime;applicationExpert4;turn off lights in bedroom between 23 and 06;if  Test-user   is  inside  bedroom and time  is between 23:00 AND 06:00  ,  do  turn off all lights in the bedroom;time  is between 23:00 AND 06:00;;Comfort, Wellbeing;Generic;Night
89;datetime;localtime;condition;lessthen;NEXTOPERATOR;06:00;datetime-localtime;applicationExpert4;turn off lights in bedroom between 23 and 06;if  Test-user   is  inside  bedroom and time  is between 23:00 AND 06:00  ,  do  turn off all lights in the bedroom;time  is between 23:00 AND 06:00;;Comfort, Wellbeing;Generic;Night
89;bedroom;alllight;action;OPERATOR;NEXTOPERATOR;OFF;bedroom-alllight;applicationExpert4;turn off lights in bedroom between 23 and 06;if  Test-user   is  inside  bedroom and time  is between 23:00 AND 06:00  ,  do  turn off all lights in the bedroom;do  turn off all lights in the bedroom;;Comfort, Wellbeing;Generic;Night
90;datetime;localtime;event;equal;NEXTOPERATOR;21:00;datetime-localtime;applicationExpert4;Charge devices;When time becomes  21:00 minutes ,  do send  one  reminder  by notification;When time becomes  21:00 minutes ;;Organizing;Generic;Evening
90;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to charge your smart devices;reminders-reminders;applicationExpert4;Charge devices;When time becomes  21:00 minutes ,  do send  one  reminder  by notification;"do send  one  reminder ""Remember to charge your smart devices""  by notification";;Organizing;Generic;Evening
91;relativeposition;typeofproximity;event;outside;NEXTOPERATOR;house;relativeposition-typeofproximity;applicationExpert4;Elderly exits home - all lights off;When  Test-user   is  outside house ,  do  turn off all lights in the house;When  Test-user   is  outside house;;EnergySaving;Generic;GoingOut
91;all;alllight;action;OPERATOR;NEXTOPERATOR;OFF;all-alllight;applicationExpert4;Elderly exits home - all lights off;When  Test-user   is  outside house ,  do  turn off all lights in the house;do  turn off all lights in the house;;EnergySaving;Generic;GoingOut
92;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;house;relativeposition-typeofproximity;applicationExpert4;Elderly arrives home - entrance light on;When  Test-user   is  inside  house ,  do  turn on the  Entrance Light;When  Test-user   is  inside  house;;Comfort;Generic;Generic
92;entrance;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;entrance-changelightstate;applicationExpert4;Elderly arrives home - entrance light on;When  Test-user   is  inside  house ,  do  turn on the  Entrance Light;do  turn on the  Entrance Light;;Comfort;Generic;Generic
93;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;livingroom;relativeposition-typeofproximity;applicationExpert4;Elderly in living room - light on;if  Test-user   is  inside  livingroom and  LivingRoom light level is  low light  ,  do  turn on the  Living Room Light;if  Test-user   is  inside  livingroom and;;Comfort;Generic;Generic
93;livingroom;lightlevel;condition;equal;NEXTOPERATOR;LOW_LIGHT;livingroom-lightlevel;applicationExpert4;Elderly in living room - light on;if  Test-user   is  inside  livingroom and  LivingRoom light level is  low light  ,  do  turn on the  Living Room Light;LivingRoom light level is  low light;;Comfort;Generic;Generic
93;livingroom;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;livingroom-changelightstate;applicationExpert4;Elderly in living room - light on;if  Test-user   is  inside  livingroom and  LivingRoom light level is  low light  ,  do  turn on the  Living Room Light;do  turn on the  Living Room Light;;Comfort;Generic;Generic
94;timeinsidearoom;timeinsidebathroom;event;equal;and;20;timeinsidearoom-timeinsidebathroom;applicationExpert4;Fall in bathroom at night - alarm; WHEN  time inside bathroom becomes  20 minutes and time  is between 22:00 AND 07:00  ,  do send  one  alarm  by sms to caregiver; WHEN  time inside bathroom becomes  20 minutes and;;Safety;Caregiver;ElderlyAlone, Night
94;datetime;localtime;condition;morethen;and;22:00;datetime-localtime;applicationExpert4;Fall in bathroom at night - alarm; WHEN  time inside bathroom becomes  20 minutes and time  is between 22:00 AND 07:00  ,  do send  one  alarm  by sms to caregiver;and time  is between 22:00 AND 07:00;;Safety;Caregiver;ElderlyAlone, Night
94;datetime;localtime;condition;lessthen;NEXTOPERATOR;07:00;datetime-localtime;applicationExpert4;Fall in bathroom at night - alarm; WHEN  time inside bathroom becomes  20 minutes and time  is between 22:00 AND 07:00  ,  do send  one  alarm  by sms to caregiver;and time  is between 22:00 AND 07:00;;Safety;Caregiver;ElderlyAlone, Night
94;alarms;alarms;action;OPERATOR;NEXTOPERATOR;The elder has been in the bathroom for 20 minutes, he may have fallen;alarms-alarms;applicationExpert4;Fall in bathroom at night - alarm; WHEN  time inside bathroom becomes  20 minutes and time  is between 22:00 AND 07:00  ,  do send  one  alarm  by sms to caregiver;"do send  one  alarm ""The elder has been in the bathroom for 20 minutes  he may have fallen""  by sms to caregiver";;Safety;Caregiver;ElderlyAlone, Night
95;relativeposition;typeofproximity;event;outside;NEXTOPERATOR;kitchen;relativeposition-typeofproximity;applicationExpert4;Elderly exits kitchen - light off; WHEN   Test-user   is  outside kitchen and  Kitchen Light state is  on  ,  do  turn off the  Kitchen Light; WHEN   Test-user   is  outside kitchen and ;;EnergySaving;Generic;Generic
95;kitchenlight;state;condition;equal;NEXTOPERATOR;ON;kitchenlight-state;applicationExpert4;Elderly exits kitchen - light off; WHEN   Test-user   is  outside kitchen and  Kitchen Light state is  on  ,  do  turn off the  Kitchen Light;Kitchen Light state is  on;;EnergySaving;Generic;Generic
95;kitchen;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;kitchen-changelightstate;applicationExpert4;Elderly exits kitchen - light off; WHEN   Test-user   is  outside kitchen and  Kitchen Light state is  on  ,  do  turn off the  Kitchen Light;do  turn off the colored  Kitchen Light ;;EnergySaving;Generic;Generic
96;cognitive;lastconnectiontime;event;equal;NEXTOPERATOR;72;cognitive-lastconnectiontime;applicationExpert4;more than 72 hours from last Kwido connection - email to caregiver;When  Test-user last connection becomes  72  ,  do send  one  alarm  by mail to caregiver@email.com;When  Test-user last connection becomes  72 hours;;Health, Wellbeing;Caregiver;Generic
96;alarms;alarms;action;OPERATOR;NEXTOPERATOR;More than 72 hours since the last connection to the Kwido application;alarms-alarms;applicationExpert4;more than 72 hours from last Kwido connection - email to caregiver;When  Test-user last connection becomes  72  ,  do send  one  alarm  by mail to caregiver@email.com;"do send  one  alarm  ""More than 72 hours since the last connection to the Kwido application"" by mail to caregiver@email.com";;Health, Wellbeing;Caregiver;Generic
97;bedroom;motion;condition;equal;NEXTOPERATOR;TRUE;bedroom-motion;applicationExpert4;get up - activating light;if  Bedroom motion is  not  active     between 07:00 and 08:00 ,  do start activating light scene in the bedroom;if  Bedroom motion is  not  active     between 07:00 and 08:00 ;;Wellbeing;Generic;Generic
97;bedroom;activate;action;OPERATOR;NEXTOPERATOR;VALUE;bedroom-activate;applicationExpert4;get up - activating light;if  Bedroom motion is  not  active     between 07:00 and 08:00 ,  do start activating light scene in the bedroom;do start activating light scene in the bedroom;;Wellbeing;Generic;Generic
98;datetime;localtime;event;equal;and;18:00;datetime-localtime;applicationExpert4;good weather tomorrow - walk notification; WHEN  time becomes  18:00 minutes and  Weather & Time outdoor condition is  clear sky  and  Weather & Time outdoor temperature is  more then  20  ,  do send  one  reminder  by notification; WHEN  time becomes  18:00 minutes and;;Health, Wellbeing;Generic;GoodWeather
98;twentyfourhoursweatherforecast;outdoorcondition;condition;equal;and;CLEAR_SKY;twentyfourhoursweatherforecast-outdoorcondition;applicationExpert4;good weather tomorrow - walk notification; WHEN  time becomes  18:00 minutes and  Weather & Time outdoor condition is  clear sky  and  Weather & Time outdoor temperature is  more then  20  ,  do send  one  reminder  by notification;Weather & Time outdoor condition is  clear sky  and;;Health, Wellbeing;Generic;GoodWeather
98;twentyfourhoursweatherforecast;outdoortemperature;condition;more;NEXTOPERATOR;20;twentyfourhoursweatherforecast-outdoortemperature;applicationExpert4;good weather tomorrow - walk notification; WHEN  time becomes  18:00 minutes and  Weather & Time outdoor condition is  clear sky  and  Weather & Time outdoor temperature is  more then  20  ,  do send  one  reminder  by notification;and  Weather & Time outdoor temperature is  more then  20;;Health, Wellbeing;Generic;GoodWeather
98;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Tomorrow the weather will be excellent: remember to go out for a walk!;reminders-reminders;applicationExpert4;good weather tomorrow - walk notification; WHEN  time becomes  18:00 minutes and  Weather & Time outdoor condition is  clear sky  and  Weather & Time outdoor temperature is  more then  20  ,  do send  one  reminder  by notification;"do send  one  reminder ""Tomorrow the weather will be excellent: remember to go out for a walk!"" by notification";;Health, Wellbeing;Generic;GoodWeather
99;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;kitchen;relativeposition-typeofproximity;applicationExpert4;Elderly enters kitchen in dark - light on; WHEN   Test-user   is  inside  kitchen and  Kitchen light level is  low light  ,  do  turn on the  Kitchen Light; WHEN   Test-user   is  inside  kitchen and ;;Comfort;Generic;Generic
99;kitchen;lightlevel;condition;equal;NEXTOPERATOR;LOW_LIGHT;kitchen-lightlevel;applicationExpert4;Elderly enters kitchen in dark - light on; WHEN   Test-user   is  inside  kitchen and  Kitchen light level is  low light  ,  do  turn on the  Kitchen Light;Kitchen light level is  low light ;;Comfort;Generic;Generic
99;kitchen;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;kitchen-changelightstate;applicationExpert4;Elderly enters kitchen in dark - light on; WHEN   Test-user   is  inside  kitchen and  Kitchen light level is  low light  ,  do  turn on the  Kitchen Light;do  turn on the  Kitchen Light;;Comfort;Generic;Generic
100;datetime;localtime;event;equal;and;18:30;datetime-localtime;applicationExpert4;light in kitchen at 18:30; WHEN  time becomes  18:30 minutes and  Test-user   is  inside  kitchen and  Kitchen light level is  dark  ,  do  turn on the  Kitchen Light; WHEN  time becomes  18:30 minutes and;;Comfort;Generic;Generic
100;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;kitchen;relativeposition-typeofproximity;applicationExpert4;light in kitchen at 18:30; WHEN  time becomes  18:30 minutes and  Test-user   is  inside  kitchen and  Kitchen light level is  dark  ,  do  turn on the  Kitchen Light;Test-user   is  inside  kitchen and;;Comfort;Generic;Generic
100;kitchen;lightlevel;condition;equal;NEXTOPERATOR;DARK;kitchen-lightlevel;applicationExpert4;light in kitchen at 18:30; WHEN  time becomes  18:30 minutes and  Test-user   is  inside  kitchen and  Kitchen light level is  dark  ,  do  turn on the  Kitchen Light;Kitchen light level is  dark;;Comfort;Generic;Generic
100;kitchen;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;kitchen-changelightstate;applicationExpert4;light in kitchen at 18:30; WHEN  time becomes  18:30 minutes and  Test-user   is  inside  kitchen and  Kitchen light level is  dark  ,  do  turn on the  Kitchen Light;do  turn on the  Kitchen Light;;Comfort;Generic;Generic
101;datetime;localtime;event;equal;and;09:00;datetime-localtime;applicationExpert4;remember appointment; WHEN  time becomes  09:00 minutes and  Weather & Time date is  12-06-2020  ,  do send  one  reminder  by notification, send  one  reminder  by sms to caregiver; WHEN  time becomes  09:00 minutes and ;;Organizing;Caregiver;ElderlyAlone
101;datetime;localdate;condition;equal;NEXTOPERATOR;12/06/2020;datetime-localdate;applicationExpert4;remember appointment; WHEN  time becomes  09:00 minutes and  Weather & Time date is  12-06-2020  ,  do send  one  reminder  by notification, send  one  reminder  by sms to caregiver;Weather & Time date is  12-06-2020;;Organizing;Caregiver;ElderlyAlone
101;reminders;reminders;action;OPERATOR;NEXTOPERATOR;remember to go to the appointment!;reminders-reminders;applicationExpert4;remember appointment; WHEN  time becomes  09:00 minutes and  Weather & Time date is  12-06-2020  ,  do send  one  reminder  by notification, send  one  reminder  by sms to caregiver;"do send  one  reminder ""remember to go to the appointment!"" by notification";;Organizing;Caregiver;ElderlyAlone
101;reminders;reminders;action;OPERATOR;NEXTOPERATOR;the Elder has an appointment;reminders-reminders;applicationExpert4;remember appointment; WHEN  time becomes  09:00 minutes and  Weather & Time date is  12-06-2020  ,  do send  one  reminder  by notification, send  one  reminder  by sms to caregiver;"send  one  reminder  ""the Elder has an appointment"" by sms to caregiver";;Organizing;Caregiver;ElderlyAlone
102;cognitive;emotionalstate;event;equal;NEXTOPERATOR;SAD;cognitive-emotionalstate;applicationExpert4;sad - start relaxing scene in living room;When  Test-user kwido emotional state becomes  sad  ,  do start relaxing light scene in the living room;When  Test-user kwido emotional state becomes  sad;;Wellbeing;Generic;Generic
102;livingroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-relax;applicationExpert4;sad - start relaxing scene in living room;When  Test-user kwido emotional state becomes  sad  ,  do start relaxing light scene in the living room; do start relaxing light scene in the living room;;Wellbeing;Generic;Generic
103;datetime;localtime;event;equal;NEXTOPERATOR;09:00;datetime-localtime;applicationExpert4;Remember medicine;When time becomes  09:00 minutes ,  do send  one  reminder  by notification;When time becomes  09:00 minutes;;Health;Caregiver;Generic
103;reminders;reminders;action;OPERATOR;NEXTOPERATOR;remember to take the medicine;reminders-reminders;applicationExpert4;Remember medicine;When time becomes  09:00 minutes ,  do send  one  reminder  by notification;"do send  one  reminder ""remember to take the medicine"" by notification";;Health;Caregiver;Generic
104;physiological;heartrate;event;equal;and;100;physiological-heartrate;applicationExpert4;heart 100 - bedroom relaxing light; WHEN   Test-user heart rate becomes  100  and  Test-user   is  inside  bedroom ,  do start relaxing light scene in the bedroom; WHEN   Test-user heart rate becomes  100  and ;;Health, Wellbeing;Generic;Generic
104;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;bedroom;relativeposition-typeofproximity;applicationExpert4;heart 100 - bedroom relaxing light; WHEN   Test-user heart rate becomes  100  and  Test-user   is  inside  bedroom ,  do start relaxing light scene in the bedroom;Test-user   is  inside  bedroom;;Health, Wellbeing;Generic;Generic
104;bedroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;bedroom-relax;applicationExpert4;heart 100 - bedroom relaxing light; WHEN   Test-user heart rate becomes  100  and  Test-user   is  inside  bedroom ,  do start relaxing light scene in the bedroom;do start relaxing light scene in the bedroom;;Health, Wellbeing;Generic;Generic
105;physiological;heartrate;event;equal;NEXTOPERATOR;130;physiological-heartrate;applicationExpert4;heart rate 130 - SMS alert to caregiver;When  Test-user heart rate becomes  130  ,  do send  one  alarm  by sms to caregiver;When  Test-user heart rate becomes  130;;Health;Caregiver;ElderlyAlone
105;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Elderly heart rate is 130;alarms-alarms;applicationExpert4;heart rate 130 - SMS alert to caregiver;When  Test-user heart rate becomes  130  ,  do send  one  alarm  by sms to caregiver;"do send  one  alarm ""Elderly heart rate is 130"" by sms to caregiver";;Health;Caregiver;ElderlyAlone
106;datetime;localtime;event;equal;and;20:00;datetime-localtime;applicationExpert4;elderly out at 20 - alarm; WHEN  time becomes  20:00 minutes and  Test-user   is  outside house ,  do send  one  alarm  by sms to caregiver; WHEN  time becomes  20:00 minutes and;;Safety;Caregiver;ElderlyAlone
106;relativeposition;typeofproximity;TRIGGER;outside;NEXTOPERATOR;house;relativeposition-typeofproximity;applicationExpert4;elderly out at 20 - alarm; WHEN  time becomes  20:00 minutes and  Test-user   is  outside house ,  do send  one  alarm  by sms to caregiver;Test-user   is  outside house;;Safety;Caregiver;ElderlyAlone
106;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Elderly is outside house!;alarms-alarms;applicationExpert4;elderly out at 20 - alarm; WHEN  time becomes  20:00 minutes and  Test-user   is  outside house ,  do send  one  alarm  by sms to caregiver;"do send  one  alarm  ""Elderly is outside house!"" by sms to caregiver";;Safety;Generic;ElderlyAlone
107;bedroom;motion;event;equal;and;TRUE;bedroom-motion;applicationExpert4;guide to bathroom; WHEN   Bedroom motion becomes  active    and time  is between 00:00 AND 06:00  ,  do  turn on the  Light Strip Corridor for 5 minutes; WHEN   Bedroom motion becomes  active    and;;Safety, Comfort;Generic;Night
107;datetime;localtime;condition;morethen;and;00:00;datetime-localtime;applicationExpert4;guide to bathroom; WHEN   Bedroom motion becomes  active    and time  is between 00:00 AND 06:00  ,  do  turn on the  Light Strip Corridor for 5 minutes;time  is between 00:00 AND 06:00 ;;Safety, Comfort;Generic;Night
107;datetime;localtime;condition;lessthen;NEXTOPERATOR;06:00;datetime-localtime;applicationExpert4;guide to bathroom; WHEN   Bedroom motion becomes  active    and time  is between 00:00 AND 06:00  ,  do  turn on the  Light Strip Corridor for 5 minutes;time  is between 00:00 AND 06:00 ;;Safety, Comfort;Generic;Night
107;corridor;light strip corridor;action;OPERATOR;NEXTOPERATOR;ON;corridor-light strip corridor;applicationExpert4;guide to bathroom; WHEN   Bedroom motion becomes  active    and time  is between 00:00 AND 06:00  ,  do  turn on the  Light Strip Corridor for 5 minutes;do  turn on the  Light Strip Corridor for 5 minutes;;Safety, Comfort;Generic;Night
108;datetime;localtime;event;equal;and;15:00;datetime-localtime;applicationExpert4;reminder to move more; WHEN  time becomes  15:00 minutes and  Test-user daily footsteps is  less then  1000  ,  do send  one  reminder  by notification; WHEN  time becomes  15:00 minutes and;;Health, Wellbeing;Generic;Generic
108;physiological;steps;condition;less;NEXTOPERATOR;1000;physiological-steps;applicationExpert4;reminder to move more; WHEN  time becomes  15:00 minutes and  Test-user daily footsteps is  less then  1000  ,  do send  one  reminder  by notification;Test-user daily footsteps is  less then  1000;;Health, Wellbeing;Generic;Generic
108;reminders;reminders;action;OPERATOR;NEXTOPERATOR;you should move more!;reminders-reminders;applicationExpert4;reminder to move more; WHEN  time becomes  15:00 minutes and  Test-user daily footsteps is  less then  1000  ,  do send  one  reminder  by notification;"do send  one  reminder ""you should move more!""  by notification";;Health, Wellbeing;Generic;Generic
109;datetime;localtime;event;equal;and;15:00;datetime-localtime;applicationExpert4;living room at 3pm - relaxing light; WHEN  time becomes  15:00 minutes and  Test-user   is  inside  livingroom ,  do start relaxing light scene in the living room; WHEN  time becomes  15:00 minutes and;;Wellbeing;Generic;Generic
109;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;livingroom;relativeposition-typeofproximity;applicationExpert4;living room at 3pm - relaxing light; WHEN  time becomes  15:00 minutes and  Test-user   is  inside  livingroom ,  do start relaxing light scene in the living room; Test-user   is  inside  livingroom;;Wellbeing;Generic;Generic
109;livingroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-relax;applicationExpert4;living room at 3pm - relaxing light; WHEN  time becomes  15:00 minutes and  Test-user   is  inside  livingroom ,  do start relaxing light scene in the living room;do start relaxing light scene in the living room;;Wellbeing;Generic;Generic
110;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult;applicationExpert4;not progressing - encouragement;When  Test-user training result becomes  not progressing  ,  do send  one  reminder  by notification;When  Test-user training result becomes  not progressing;;Health, Wellbeing;Generic;Generic
110;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Keep trying, the results will improve!;reminders-reminders;applicationExpert4;not progressing - encouragement;When  Test-user training result becomes  not progressing  ,  do send  one  reminder  by notification;"do send  one  reminder ""Keep trying  the results will improve!""  by notification";;Health, Wellbeing;Generic;Generic
111;currentweather;outdoorcondition;event;equal;and;CLEAR_SKY;currentweather-outdoorcondition;applicationExpert4;good weather - go walk reminder; WHEN   Weather & Time outdoor condition becomes  clear sky  and time  is between 09:30 AND 11:00  ,  do send  one  reminder  by notification; WHEN   Weather & Time outdoor condition becomes  clear sky  and;;Health, Wellbeing;Generic;GoodWeather
111;datetime;localtime;condition;morethen;and;09:30;datetime-localtime;applicationExpert4;good weather - go walk reminder; WHEN   Weather & Time outdoor condition becomes  clear sky  and time  is between 09:30 AND 11:00  ,  do send  one  reminder  by notification;time  is between 09:30 AND 11:00 ;;Health, Wellbeing;Generic;GoodWeather
111;datetime;localtime;condition;lessthen;NEXTOPERATOR;11:00;datetime-localtime;applicationExpert4;good weather - go walk reminder; WHEN   Weather & Time outdoor condition becomes  clear sky  and time  is between 09:30 AND 11:00  ,  do send  one  reminder  by notification;time  is between 09:30 AND 11:00 ;;Health, Wellbeing;Generic;GoodWeather
111;reminders;reminders;action;OPERATOR;NEXTOPERATOR;weather is good, you should go out for a walk;reminders-reminders;applicationExpert4;good weather - go walk reminder; WHEN   Weather & Time outdoor condition becomes  clear sky  and time  is between 09:30 AND 11:00  ,  do send  one  reminder  by notification;"do send  one  reminder ""weather is good  you should go out for a walk""  by notification";;Health, Wellbeing;Generic;GoodWeather
112;bedroom;motion;event;equal;NEXTOPERATOR;TRUE;bedroom-motion;applicationExpert4;no motion in bed ;If  Bedroom motion becomes  not  active     between 06:00 and 10:00 ,  do send  one  alarm  by sms to caregiver;If  Bedroom motion becomes  not  active     between 06:00 and 10:00;;Safety;Caregiver;Morning
112;alarms;alarms;action;OPERATOR;NEXTOPERATOR;no motion in bedroom;alarms-alarms;applicationExpert4;no motion in bed ;If  Bedroom motion becomes  not  active     between 06:00 and 10:00 ,  do send  one  alarm  by sms to caregiver;"do send  one  alarm ""no motion in bedroom"" by sms to caregiver";;Safety;Caregiver;Morning
113;activity;medicationname;event;equal;NEXTOPERATOR;medicine x;activity-medicationname;applicationExpert4;medicine reminder;If medicine x has not been taken    between 08:00 and 10:00 ,  do send  reminder  by sms to Elderly;If medicine x has not been taken    between 08:00 and 10:00;;Health;Caregiver;ElderlyAlone
113;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take the medicine;reminders-reminders;applicationExpert4;medicine reminder;If medicine x has not been taken    between 08:00 and 10:00 ,  do send  reminder  by sms to Elderly;" do send  reminder ""Remember to take the medicine""  by sms to Elderly";;Health;Caregiver;ElderlyAlone
114;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult;applicationExpert4;training not progressing - email to caregiver;When  Test-user training result becomes  not progressing  ,  do send  one  reminder  by mail to caregiver@email.com;When  Test-user training result becomes  not progressing ;;Health, Wellbeing;Caregiver;Generic
114;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Training is not progressing;reminders-reminders;applicationExpert4;training not progressing - email to caregiver;When  Test-user training result becomes  not progressing  ,  do send  one  reminder  by mail to caregiver@email.com;"do send  one  reminder  by mail ""Training is not progressing"" to caregiver@email.com";;Health, Wellbeing;Caregiver;Generic
115;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult;applicationExpert4;not progressing - activating light scene and candle illumination;When  Test-user training result becomes  not progressing  ,  do  turn on the   Living Room Light and set color to Pastel orange, start activating light scene in the living room;When  Test-user training result becomes  not progressing ;;Health, Wellbeing;Caregiver;Generic
115;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;ORANGE;livingroom-hue color light living room;applicationExpert4;not progressing - activating light scene and candle illumination;When  Test-user training result becomes  not progressing  ,  do  turn on the   Living Room Light and set color to Pastel orange, start activating light scene in the living room;do  turn on the   Living Room Light and set color to Pastel orange;;Health, Wellbeing;Caregiver;Generic
115;livingroom;activate;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-activate;applicationExpert4;not progressing - activating light scene and candle illumination;When  Test-user training result becomes  not progressing  ,  do  turn on the   Living Room Light and set color to Pastel orange, start activating light scene in the living room;start activating light scene in the living room;;Health, Wellbeing;Caregiver;Generic
116;kitchen;windowsensor;condition;equal;NEXTOPERATOR;OPEN;kitchen-windowsensor;applicationExpert5;BOH;If the kitchen window sensor is open, turn off all kitchen lights;If the kitchen window sensor is open;;Generic;Generic;Generic
116;kitchen;alllight;action;OPERATOR;NEXTOPERATOR;OFF;kitchen-alllight;applicationExpert5;BOH;If the kitchen window sensor is open, turn off all kitchen lights;turn off all kitchen lights;;Generic;Generic;Generic
117;bedroom;lightlevel;event;equal;NEXTOPERATOR;NO_LIGHT;bedroom-lightlevel;domainExpert10;8-no_light;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;When  Bedroom light level becomes  no light;;Generic;Generic;Generic
117;bedroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;VALUE;bedroom-biorhythmlight;domainExpert10;8-no_light;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;do start biorhythm light scene in the bedroom;;Generic;Generic;Generic
118;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;livingroom;relativeposition-typeofproximity;domainExpert10;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;When  Test-user   is  inside  livingroom and;;Wellbeing;Generic;Evening
118;datetime;localtime;event;more;and;22:00;datetime-localtime;domainExpert10;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;time becomes  more then  22:00 minutes;;Wellbeing;Generic;Evening
118;livingroom;relax;action;OPERATOR;NEXTOPERATOR;VALUE;livingroom-relax;domainExpert10;Great-Relaxlicht um 22 Uhr, falls Testperson im Wohnzimmer ist;When  Test-user   is  inside  livingroom and time becomes  more then  22:00 minutes ,  do start relaxing light scene in the living room;do start relaxing light scene in the living room;;Wellbeing;Generic;Evening
119;cognitive;lastconnectiontime;condition;more;NEXTOPERATOR;48;cognitive-lastconnectiontime;domainExpert10;Erinnerungen Trainingsuebungen auf dem Tablet;if  Test-user last connection time is  more then  48  ,  do send  one  reminder  by notification;if  Test-user last connection time is  more then  48 hours;;Health, Wellbeing;Caregiver;Generic
119;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Please do exercises on the tablet;reminders-reminders;domainExpert10;Erinnerungen Trainingsuebungen auf dem Tablet;if  Test-user last connection time is  more then  48  ,  do send  one  reminder  by notification;"do send  one  reminder ""Please do exercises on the tablet""  by notification";;Health, Wellbeing;Caregiver;Generic
